sequence,y_true,confidence
9 v -1 w -1 v -1 v -2,0,"[0.9325251367214272, 0.06747486327857273]"
9 v -1 w -1 b -1 c -1 w -1 v -1 w -1 w -2,0,"[0.2818431318773367, 0.7181568681226633]"
9 v -1 z -1 v -2,0,"[0.9476130835447023, 0.05238691645529769]"
9 z -1 w -1 v -1 v -1 w -1 a -1 v -2,0,"[0.23896342416205707, 0.7610365758379429]"
9 z -1 v -1 w -1 z -1 v -1 b -1 c -2,0,"[0.5582286121745804, 0.4417713878254196]"
9 v -1 z -1 z -1 v -1 w -2,1,"[0.056903569792674635, 0.9430964302073254]"
9 b -1 c -1 v -1 v -1 z -1 v -1 z -1 z -2,1,"[0.5805528944107704, 0.4194471055892296]"
9 z -1 b -1 c -1 z -1 w -1 w -2,1,"[0.7268312016178149, 0.2731687983821851]"
9 z -1 z -1 w -1 z -1 b -1 c -1 w -2,1,"[0.4342530822763222, 0.5657469177236778]"
9 z -1 z -1 a -1 w -1 w -2,1,"[0.9936105316284976, 0.006389468371502449]"
9 z -1 z -1 w -1 z -1 v -2,0,"[0.9594632769336873, 0.0405367230663127]"
9 w -1 v -1 w -1 v -1 z -2,0,"[0.9175365409193236, 0.08246345908067643]"
9 w -1 w -1 w -1 z -1 v -1 v -2,0,"[0.9244254211350417, 0.07557457886495837]"
9 w -1 z -1 v -1 z -1 a -1 v -1 w -2,1,"[0.8878746421281036, 0.11212535787189637]"
9 v -1 a -1 z -1 v -1 z -2,1,"[0.17919900924208643, 0.8208009907579136]"
9 z -1 w -1 w -2,1,"[0.022647368272621482, 0.9773526317273785]"
9 v -1 w -1 v -1 b -1 c -1 w -1 z -1 z -2,0,"[0.8216220254324754, 0.1783779745675246]"
9 b -1 c -1 w -1 w -1 z -1 v -1 v -2,1,"[0.32119367176606617, 0.6788063282339338]"
9 v -1 w -1 w -1 w -1 z -2,1,"[0.06475692222366303, 0.935243077776337]"
